# LF_DEM version v3.0-126-gb72fb1a
# np 1000
# VF 0.76
# Lx 73.993
# Ly 0
# Lz 73.993
# flow_type shear
# data in cl units.
#1: time
#2: cumulated strain
#3: shear rate
#4-9: total stress tensor (xx, xy, xz, yz, yy, zz)
#10-15: contact stress tensor (xx, xy, xz, yz, yy, zz)
#16-21: dashpot stress tensor (xx, xy, xz, yz, yy, zz)
#22-27: hydro stress tensor (xx, xy, xz, yz, yy, zz)
#28-33: repulsion stress tensor (xx, xy, xz, yz, yy, zz)

7.91681 0.215838 0.0150857 -51.6591 0 20 0 0 -58.6913  -51.6732 0 19.8667 0 0 -58.7118  -0.00944549 0 0.0243204 0 0 -0.00611152  0.0235778 0 0.109027 0 0 0.0266121  0 0 0 0 0 0  
8.01106 0.217315 0.0167759 -51.8457 0 20 0 0 -58.4746  -51.8625 0 19.8521 0 0 -58.5008  -0.0102732 0 0.0264404 0 0 -0.00757947  0.0269828 0 0.121495 0 0 0.0338015  0 0 0 0 0 0  
8.10531 0.218781 0.0151821 -51.8983 0 20 0 0 -58.2756  -51.914 0 19.8659 0 0 -58.2983  -0.0110294 0 0.0246996 0 0 -0.00684805  0.0267847 0 0.109386 0 0 0.0295989  0 0 0 0 0 0  
8.19956 0.220193 0.0152808 -51.8861 0 20 0 0 -57.9664  -51.9019 0 19.8617 0 0 -57.9886  -0.0107758 0 0.0252598 0 0 -0.00633064  0.0265812 0 0.113069 0 0 0.0285593  0 0 0 0 0 0  
8.2938 0.221628 0.0152086 -52.0777 0 20 0 0 -57.8516  -52.0874 0 19.8632 0 0 -57.868  -0.0116747 0 0.024625 0 0 -0.00643118  0.0213977 0 0.112187 0 0 0.0228155  0 0 0 0 0 0  
8.38805 0.22325 0.0177316 -52.5618 0 20 0 0 -57.6423  -52.5735 0 19.8419 0 0 -57.6583  -0.0109323 0 0.0277879 0 0 -0.00901987  0.0226142 0 0.130308 0 0 0.0249747  0 0 0 0 0 0  
8.4823 0.22508 0.018701 -52.5005 0 20 0 0 -57.4324  -52.5123 0 19.8296 0 0 -57.4544  -0.0108417 0 0.0309466 0 0 -0.00865171  0.022672 0 0.139498 0 0 0.0306489  0 0 0 0 0 0  
8.57655 0.22691 0.0186991 -52.635 0 20 0 0 -57.472  -52.6435 0 19.8276 0 0 -57.4906  -0.0106131 0 0.0318448 0 0 -0.00927716  0.0191543 0 0.14053 0 0 0.0278065  0 0 0 0 0 0  
8.6708 0.228699 0.0186573 -52.9557 0 20 0 0 -57.3612  -52.9627 0 19.8301 0 0 -57.3803  -0.0134703 0 0.0315574 0 0 -0.0122001  0.0204384 0 0.138373 0 0 0.0312484  0 0 0 0 0 0  
8.76504 0.23047 0.0178759 -53.0598 0 20 0 0 -57.3111  -53.0701 0 19.8379 0 0 -57.3343  -0.011153 0 0.0300276 0 0 -0.00927285  0.0214333 0 0.132039 0 0 0.0324215  0 0 0 0 0 0  
8.85929 0.232162 0.0190545 -53.1638 0 20 0 0 -57.2596  -53.1776 0 19.8258 0 0 -57.2861  -0.0116562 0 0.0311329 0 0 -0.0110253  0.0254114 0 0.143068 0 0 0.0375374  0 0 0 0 0 0  
8.95354 0.233943 0.0200673 -53.3177 0 20 0 0 -56.8181  -53.3349 0 19.8116 0 0 -56.8514  -0.0124389 0 0.0329916 0 0 -0.0108273  0.0296319 0 0.155399 0 0 0.0441328  0 0 0 0 0 0  
9.04779 0.235783 0.0213707 -53.2758 0 20 0 0 -56.5388  -53.2926 0 19.8008 0 0 -56.5725  -0.0152008 0 0.0350068 0 0 -0.0110563  0.0319649 0 0.164232 0 0 0.0447972  0 0 0 0 0 0  
9.14203 0.237774 0.0212239 -53.4027 0 20 0 0 -56.5031  -53.4208 0 19.8119 0 0 -56.5381  -0.0113587 0 0.0344799 0 0 -0.00949395  0.029391 0 0.153624 0 0 0.0444965  0 0 0 0 0 0  
9.23628 0.239788 0.0217997 -53.5596 0 20 0 0 -56.8612  -53.5744 0 19.8045 0 0 -56.8968  -0.0139768 0 0.0361938 0 0 -0.0100082  0.028774 0 0.159273 0 0 0.0456104  0 0 0 0 0 0  
9.33053 0.241913 0.0238018 -53.7853 0 20 0 0 -57.359  -53.7968 0 19.7854 0 0 -57.3937  -0.0143932 0 0.0407522 0 0 -0.0101409  0.0259589 0 0.173823 0 0 0.0448636  0 0 0 0 0 0  
9.42478 0.244082 0.0217105 -54.1495 0 20 0 0 -57.5618  -54.1569 0 19.7981 0 0 -57.585  -0.0119362 0 0.0386616 0 0 -0.00971667  0.0193688 0 0.163281 0 0 0.0329294  0 0 0 0 0 0  
